article_id,title,url,publisher,hostname,timestamp,category
4180,Gold falls as US growth optimism weighs,http://www.bdlive.co.za/markets/2014/03/10/gold-falls-as-us-growth-optimism-weighs,BDlive,www.bdlive.co.za,1390000000000.0,0
2585,ECB to reveal bad loan hurdles for euro zone bank test,http://www.irishtimes.com/business/sectors/financial-services/ecb-to-reveal-bad-loan-hurdles-for-euro-zone-bank-test-1.1719128,Irish Times,www.irishtimes.com,1390000000000.0,0
2710,"Gold hits 6-month peak, while copper falls to lowest since 2010",http://www.nasdaq.com/article/gold-hits-6month-peak-while-copper-falls-to-lowest-since-2010-cm334514,NASDAQ,www.nasdaq.com,1390000000000.0,0
513,Kaiser: CT exchange less competitive than 2012 individual market,http://www.hartfordbusiness.com/article/20140317/NEWS01/140319930,Hartford Business,www.hartfordbusiness.com,1400000000000.0,0
734,EBay urgest shareholders to reject Icahn's board nominees,http://www.cnbc.com/id/101464754,CNBC.com,www.cnbc.com,1390000000000.0,0
3268,"China's CSI300 index at near 9-mth low, Hong Kong sinks too",http://uk.reuters.com/article/2014/03/10/markets-hongkong-china-stocks-idUKL3N0M70KU20140310,Reuters UK,uk.reuters.com,1390000000000.0,0
1083,Spot Gold Extends Losses and Seen Vulnerable if Ukraine Situation Improves,http://online.wsj.com/article/BT-CO-20140310-702362.html,Wall Street Journal,online.wsj.com,1390000000000.0,0
697,Current Mortgage Rates: 30-Year Home Loans and Refinance Rates at Citi  ...,http://southerndailypress.com/current-mortgage-rates-30-year-home-loans-and-refinance-rates-at-citi-mortgage-for-march-11-17619.html,Southern Daily Press,southerndailypress.com,1390000000000.0,0
215,Quiznos Future Remains Questionable After Filing Bankruptcy,http://americanlivewire.com/2014-03-16-quiznos-future-remains-questionable-filing-bankruptcy/,American Live Wire,americanlivewire.com,1400000000000.0,0
1100,Copper slumps amid fears of slowdown in China,http://www.globaltimes.cn/content/847499.shtml,Global Times,www.globaltimes.cn,1390000000000.0,0
2566,Candy Crush maker seeks to price US IPO at $21-$24/share,http://profit.ndtv.com/news/corporates/article-candy-crush-maker-seeks-to-price-u-s-ipo-at-21-24-share-382780,NDTV,profit.ndtv.com,1390000000000.0,0
1467,"Europe shares mixed; Ukraine, China watched; WM Morrison falls 8%",http://www.cnbc.com/id/101489914,CNBC.com,www.cnbc.com,1390000000000.0,0
3372,"Men's Wearhouse Loss Widens On Weak Sales, Margins",http://www.rttnews.com/2284370/men-s-wearhouse-loss-widens-on-weak-sales-margins.aspx\?type=ern,RTT News,www.rttnews.com,1390000000000.0,0
150,China to Double Yuan's Trading Band Against Dollar to 2%,http://www.sfgate.com/business/bloomberg/article/China-to-Double-Yuan-s-Trading-Band-Against-5320255.php,San Francisco Chronicle,www.sfgate.com,1400000000000.0,0
175,Stocks slide after discouraging news from Asia,http://www.knoe.com/story/24932552/stocks-slide-after-discouraging-news-from-asia,Knoe.com,www.knoe.com,1390000000000.0,0
2155,The End of Fannie (FNMA) and Freddie (FMCC)?,http://www.streetinsider.com/Analyst+Comments/The+End+of+Fannie+(FNMA)+and+Freddie+(FMCC)%3F/9270198.html,StreetInsider.com \(subscription\),www.streetinsider.com,1390000000000.0,0
862,Colorado reaps millions from pot sales,http://www.news.com.au/finance/business/colorado-reaps-in-2-million-of-taxes-from-legal-marijuana-sales-in-january/story-fnkgdftz-1226851307172,NEWS.com.au,www.news.com.au,1390000000000.0,0
4160,Gold futures drop on upbeat jobs report,http://www.shanghaidaily.com/article/article_xinhua.aspx\?id=205453,Shanghai Daily \(subscription\),www.shanghaidaily.com,1390000000000.0,0
3394,"China Jan-Feb factory output up 8.6 pct y/y, a five-year low",http://www.financialexpress.com/news/china-janfeb-factory-output-up-8.6-pct-yy-a-fiveyear-low/1233174,Financial Express,www.financialexpress.com,1390000000000.0,0
2681,"Economic Watch: Produce Prices Fall, Consumer Sentiment Weakens",http://www.truckinginfo.com/news/story/2014/03/economic-watch-produce-prices-fall-consumer-sentiment-weakens.aspx,Truckinginfo,www.truckinginfo.com,1400000000000.0,0
1473,US futures lower after record high,http://www.iol.co.za/business/international/us-futures-lower-after-record-high-1.1658991,Independent Online,www.iol.co.za,1390000000000.0,0
4053,Asian shares find support amid Chinese uncertainty,http://www.bdlive.co.za/markets/2014/03/11/asian-shares-find-support-amid-chinese-uncertainty,BDlive,www.bdlive.co.za,1390000000000.0,0
938,Wall Street closes lower,http://www.businessspectator.com.au/news/2014/3/12/financial-markets/wall-street-closes-lower,Business Spectator,www.businessspectator.com.au,1390000000000.0,0
1425,US stocks dip on weak China data,http://business.iafrica.com/worldnews/906857.html,iAfrica.com,business.iafrica.com,1390000000000.0,0
1704,Oil falls to around $101 after China data,http://poststar.com/business/oil-falls-to-around-after-china-data/article_05baa734-cac0-543a-8e2b-2c722aecc60a.html,Glens Falls Post-Star,poststar.com,1390000000000.0,0
2328,Sbarro files for 2nd bankruptcy in 3 years,http://www.stltoday.com/business/local/sbarro-files-for-nd-bankruptcy-in-years/article_0206fb53-2beb-5f49-ad28-f2766d6355a2.html,STLtoday.com,www.stltoday.com,1390000000000.0,0
177,"US STOCKS-Wall Street falls in choppy trading, catalysts scarce",http://in.reuters.com/article/2014/03/11/markets-usa-stocks-idINL2N0M81I520140311,Reuters,in.reuters.com,1390000000000.0,0
4016,Will FOMC Be Kind To Stocks?,http://www.investing.com/analysis/will-fomc-be-kind-to-stocks-206308,Investing.com,www.investing.com,1400000000000.0,0
1445,Urban Outfitters warns on current-quarter results after sales miss,http://www.reuters.com/article/2014/03/10/us-urbanoutfitters-results-idUSBREA291T220140310,Reuters,www.reuters.com,1390000000000.0,0
3116,U.S. Mortgage Application Volume Fell 2.1%,http://www.nasdaq.com/article/us-mortgage-application-volume-fell-21-20140312-00244,NASDAQ,www.nasdaq.com,1390000000000.0,0
2979,"House GOP committed to Obamacare alternative, but passing a bill this year is  ...",http://washingtonexaminer.com/house-gop-committed-to-obamacare-alternative-but-passing-a-bill-this-year-is-another-story/article/2545749,Washington Examiner,washingtonexaminer.com,1400000000000.0,0
2250,Unicredit posts ???14bn loss for 2013,http://www.gulf-times.com/eco.-bus.%20news/256/details/384233/unicredit-posts-%E2%82%AC14bn-loss-for-2013,Gulf Times,www.gulf-times.com,1390000000000.0,0
2041,Poll: Fed seen hiking US rates in second half of 2015 as jobless rate falls,http://www.inforum.com/event/article/id/429086/group/homepage/,In-Forum,www.inforum.com,1400000000000.0,0
1831,Candy Crush Saga belongs to group of complex mathematical problems,http://www.dailymail.co.uk/sciencetech/article-2579306/Its-official-Candy-Crush-HARD-Study-reveals-game-belongs-group-complex-mathematical-problems.html,Daily Mail,www.dailymail.co.uk,1390000000000.0,0
913,WTI crude falls sharply as China trade data weighs,http://www.nasdaq.com/article/wti-crude-falls-sharply-as-china-trade-data-weighs-cm333846,NASDAQ,www.nasdaq.com,1390000000000.0,0
3779,Carney: Estimate for rates to hit 2-3% 'not unreasonable',http://www.investmentweek.co.uk/investment-week/news/2333421/carney-estimate-for-rates-to-hit-2-3-not-unreasonable,Investment Week,www.investmentweek.co.uk,1390000000000.0,0
787,Stocks Seeing Modest Weakness In Early Trading - U.S. Commentary,http://www.rttnews.com/2283436/stocks-seeing-modest-weakness-in-early-trading-u-s-commentary.aspx\?type=uscom,RTT News,www.rttnews.com,1390000000000.0,0
372,WRAPUP 1-US inflation muted despite food price increases; housing starts slip,http://in.reuters.com/article/2014/03/18/usa-economy-idINL2N0MF0HR20140318,Reuters,in.reuters.com,1400000000000.0,0
